coordinates,tarif,accessibilite_pmr,indications_localisation,type,horaires,relais_bebe,commune,code_postal,departement,code_departement,latitude,longitude
"[48.8387518997323, 2.3215882]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8387518997323,2.3215882
"[48.8636619997261, 2.3509604]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8636619997261,2.3509604
"[48.8126049997388, 2.3874435]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Ivry-sur-Seine,94041,Val-de-Marne,94,48.8126049997388,2.3874435
"[48.7867271997452, 2.0444538]",Payant,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Montigny-le-Bretonneux,78423,Yvelines,78,48.7867271997452,2.0444538
"[48.7050943997655, 2.0450071]",pas d'info,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Chevreuse,78160,Yvelines,78,48.7050943997655,2.0450071
"[48.8347528997333, 2.357756]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8347528997333,2.357756
"[48.8604893997269, 2.3425799]",pas d'info,Oui,IKEA,Toilettes dans un bâtiment recevant du public (Toilettes assises),Mo-Sa 10:00-20:00; Su 11:00-20:00,Oui,Paris,75056,Paris,75,48.8604893997269,2.3425799
"[48.7773948997475, 2.2954035]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Sceaux,92071,Hauts-de-Seine,92,48.7773948997475,2.2954035
"[48.839863799732, 2.3196159]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.839863799732,2.3196159
"[48.8695160997247, 2.2258704]",Payant,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Suresnes,92073,Hauts-de-Seine,92,48.8695160997247,2.2258704
"[48.8222951997364, 2.413801]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Charenton-le-Pont,94018,Val-de-Marne,94,48.8222951997364,2.413801
"[48.7896397997445, 1.601915]",Gratuit,Non,pas d'info,Toilettes publiques,24/7,pas d'info,Houdan,78310,Yvelines,78,48.7896397997445,1.601915
"[48.6188394997868, 2.2920272]",pas d'info,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Brétigny-sur-Orge,91103,Essonne,91,48.6188394997868,2.2920272
"[48.3730309998474, 2.8160641]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Moret-Loing-et-Orvanne,77316,Seine-et-Marne,77,48.3730309998474,2.8160641
"[48.9910228996946, 2.0886416]",Gratuit,pas d'info,pas d'info,Toilettes publiques,pas d'info,pas d'info,Conflans-Sainte-Honorine,78172,Yvelines,78,48.9910228996946,2.0886416
"[48.8833400997213, 2.3263118]",Gratuit,Oui,pas d'info,Toilettes publiques (Toilettes assises),pas d'info,pas d'info,Paris,75056,Paris,75,48.8833400997213,2.3263118
"[48.8662171997255, 2.3999602]",Gratuit,Non,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8662171997255,2.3999602
"[48.8374149997326, 2.3535402]",Gratuit,Oui,pas d'info,Toilettes publiques,pas d'info,pas d'info,Paris,75056,Paris,75,48.8374149997326,2.3535402
